Name,Value,Team
Ben Heneghan,440000.0,Sheffield United
Kean Bryan,275000.0,Sheffield United
Enda Stevens,6050000.0,Sheffield United
Jack Robinson,2200000.0,Sheffield United
George Baldock,5280000.0,Sheffield United
Kieron Freeman,1320000.0,Sheffield United
Sander Berge,22000000.0,Sheffield United
Jack Rodwell,1320000.0,Sheffield United
John Lundstram,8800000.0,Sheffield United
John Fleck,7150000.0,Sheffield United
Oliver Norwood,7150000.0,Sheffield United
Ben Osborn,2200000.0,Sheffield United
Luke Freeman,3080000.0,Sheffield United
Ravel Morrison,660000.0,Sheffield United
Callum Robinson,6050000.0,Sheffield United
Ricky Holmes,275000.0,Sheffield United
Nathan Thomas,275000.0,Sheffield United
Lys Mousset,10450000.0,Sheffield United
Oliver McBurnie,8800000.0,Sheffield United
Billy Sharp,1760000.0,Sheffield United
David McGoldrick,1760000.0,Sheffield United
Richairo Zivkovic,715000.0,Sheffield United
Leon Clarke,330000.0,Sheffield United
Lukasz Fabianski,3520000.0,West Ham United
Darren Randolph,3080000.0,West Ham United
David Martin,275000.0,West Ham United
Issa Diop,30800000.0,West Ham United
Fabián Balbuena,10450000.0,West Ham United
Angelo Ogbonna,7150000.0,West Ham United
Gonçalo Cardoso,2530000.0,West Ham United
Aaron Cresswell,7150000.0,West Ham United
Arthur Masuaku,7150000.0,West Ham United
Ryan Fredericks,4400000.0,West Ham United
Pablo Zabaleta,880000.0,West Ham United
Declan Rice,54450000.0,West Ham United
Tomas Soucek,13200000.0,West Ham United
Carlos Sánchez,1320000.0,West Ham United
Mark Noble,5280000.0,West Ham United
Jack Wilshere,5280000.0,West Ham United
Josh Cullen,1320000.0,West Ham United
Manuel Lanzini,17600000.0,West Ham United
Pablo Fornals,17600000.0,West Ham United
Felipe Anderson,35200000.0,West Ham United
Jarrod Bowen,17600000.0,West Ham United
Andriy Yarmolenko,10450000.0,West Ham United
Michail Antonio,10450000.0,West Ham United
Robert Snodgrass,5280000.0,West Ham United
Grady Diangana,4950000.0,West Ham United
Sébastien Haller,39600000.0,West Ham United
Jordan Hugill,6050000.0,West Ham United
Albian Ajeti,5280000.0,West Ham United
Ben Foster,1320000.0,Watford FC
Heurelho Gomes,440000.0,Watford FC
Daniel Bachmann,440000.0,Watford FC
Christian Kabasele,7150000.0,Watford FC
Craig Dawson,5280000.0,Watford FC
Craig Cathcart,4400000.0,Watford FC
Ben Wilmot,1980000.0,Watford FC
Adrian Mariappa,1760000.0,Watford FC
Adam Masina,6050000.0,Watford FC
José Holebas,1320000.0,Watford FC
Kiko Femenía,5280000.0,Watford FC
Daryl Janmaat,4400000.0,Watford FC
Étienne Capoue,5720000.0,Watford FC
Nathaniel Chalobah,5280000.0,Watford FC
Abdoulaye Doucouré,22000000.0,Watford FC
Will Hughes,15950000.0,Watford FC
Tom Cleverley,5280000.0,Watford FC
Domingos Quina,3520000.0,Watford FC
Tom Dele-Bashiru,495000.0,Watford FC
Roberto Pereyra,9900000.0,Watford FC
Gerard Deulofeu,22000000.0,Watford FC
Isaac Success,3520000.0,Watford FC
Ismaïla Sarr,26950000.0,Watford FC
Ignacio Pussetto,7150000.0,Watford FC
João Pedro,19800000.0,Watford FC
Andre Gray,10450000.0,Watford FC
Troy Deeney,7150000.0,Watford FC
Danny Welbeck,6050000.0,Watford FC
Adalberto Peñaranda,1100000.0,Watford FC
Vicente Guaita,4400000.0,Crystal Palace
Wayne Hennessey,2640000.0,Crystal Palace
Stephen Henderson,440000.0,Crystal Palace
Mamadou Sakho,10450000.0,Crystal Palace
James Tomkins,4400000.0,Crystal Palace
Gary Cahill,4400000.0,Crystal Palace
Jairo Riedewald,3520000.0,Crystal Palace
Scott Dann,3080000.0,Crystal Palace
Ryan Inniss,165000.0,Crystal Palace
Patrick van Aanholt,10450000.0,Crystal Palace
Joel Ward,3520000.0,Crystal Palace
Martin Kelly,3080000.0,Crystal Palace
Luka Milivojevic,22000000.0,Crystal Palace
Cheikhou Kouyaté,8800000.0,Crystal Palace
James McArthur,5280000.0,Crystal Palace
James McCarthy,3080000.0,Crystal Palace
Jeffrey Schlupp,10450000.0,Crystal Palace
Scott Banks,275000.0,Crystal Palace
Max Meyer,8800000.0,Crystal Palace
Wilfried Zaha,48400000.0,Crystal Palace
Andros Townsend,13200000.0,Crystal Palace
Christian Benteke,11550000.0,Crystal Palace
