Name,Position,Market Value,Actual Fee,New Team,Old Team
Dominic Iorfa,CB,2200000.0,0,Sheff Wed,Wolverhampton Wanderers
Joe Mason,CF,1650000.0,0,Without Club,Wolverhampton Wanderers
Aaron Collins,RW,83000.0,0,Without Club,Wolverhampton Wanderers
Carl Ikeme,GK,550000.0,0,Retired,Wolverhampton Wanderers
Emiliano Sala,CF,17600000.0,18700000.0,Cardiff City,FC Nantes
Josh Murphy,LW,1650000.0,12540000.0,Cardiff City,Norwich
Bobby Reid,SS,3300000.0,12490000.0,Cardiff City,Bristol City
Greg Cunningham,LB,1650000.0,4400000.0,Cardiff City,Preston NE
Alex Smithies,GK,3300000.0,4400000.0,Cardiff City,QPR
Leandro Bacuna,CM,2200000.0,3800000.0,Cardiff City,Reading
Ryan Pryce,CB,0,0,Cardiff City,The New Saints
Anthony Pilkington,LW,1650000.0,0,Wigan,Cardiff City
Ben Wilson,GK,110000.0,0,Bradford,Cardiff City
Matty Kennedy,LW,165000.0,0,St. Johnstone,Cardiff City
Ibrahim Meite,CF,55000.0,0,Crawley Town,Cardiff City
Lee Camp,GK,275000.0,0,Birmingham,Cardiff City
Chris Konopka,GK,110000.0,0,Without Club,Cardiff City
Frédéric Gounongbe,CF,1100000.0,0,Without Club,Cardiff City
Greg Halford,CB,550000.0,0,Without Club,Cardiff City
Jean Michaël Seri,CM,33000000.0,33000000.0,Fulham FC,OGC Nice
André Zambo Anguissa,DM,19800000.0,27340000.0,Fulham FC,Marseille
Aleksandar Mitrovic,CF,16500000.0,27170000.0,Fulham FC,Newcastle
Alfie Mawson,CB,16500000.0,18540000.0,Fulham FC,Swansea
Joe Bryan,LB,5500000.0,7370000.0,Fulham FC,Bristol City
Fabri,GK,4400000.0,6600000.0,Fulham FC,Besiktas
Maxime Le Marchand,CB,4400000.0,4400000.0,Fulham FC,OGC Nice
Ryan Babel,LW,5500000.0,2200000.0,Fulham FC,Besiktas
Lazar Markovic,RW,5500000.0,0,Fulham FC,Liverpool
David Button,GK,1650000.0,4950000.0,Brighton,Fulham FC
Cauley Woodrow,AM,825000.0,935000.0,Barnsley FC,Fulham FC
George Williams,AM,550000.0,0,Forest Green,Fulham FC
Ryan Fredericks,RB,4400000.0,0,West Ham,Fulham FC
