Name,Value,Team
Kenji Gorré,275000.0,Swansea City
André Ayew,16500000.0,Swansea City
Wayne Routledge,1650000.0,Swansea City
Daniel James,0,Swansea City
Luciano Narsingh,5500000.0,Swansea City
Nathan Dyer,2750000.0,Swansea City
Tammy Abraham,11000000.0,Swansea City
Wilfried Bony,11000000.0,Swansea City
Jordan Ayew,8800000.0,Swansea City
Oliver McBurnie,1100000.0,Swansea City
Courtney Baker-Richardson,0,Swansea City
Orestis Karnezis,3300000.0,Watford FC
Costel Pantilimon,1650000.0,Watford FC
Heurelho Gomes,1100000.0,Watford FC
Daniel Bachmann,275000.0,Watford FC
Christian Kabasele,7700000.0,Watford FC
Sebastian Prödl,4400000.0,Watford FC
Miguel Britos,3850000.0,Watford FC
Craig Cathcart,3850000.0,Watford FC
Younès Kaboul,2200000.0,Watford FC
Adrian Mariappa,1650000.0,Watford FC
Molla Wagué,1650000.0,Watford FC
Tommie Hoban,825000.0,Watford FC
Joy Mukena,0,Watford FC
Marvin Zeegelaar,3300000.0,Watford FC
José Holebas,2200000.0,Watford FC
Daryl Janmaat,6600000.0,Watford FC
Kiko Femenía,5500000.0,Watford FC
Étienne Capoue,8800000.0,Watford FC
Nathaniel Chalobah,5500000.0,Watford FC
Abdoulaye Doucouré,16500000.0,Watford FC
Will Hughes,11000000.0,Watford FC
Tom Cleverley,9900000.0,Watford FC
Didier Ndong,8800000.0,Watford FC
Ben Watson,1100000.0,Watford FC
Carl Stewart,0,Watford FC
Roberto Pereyra,11000000.0,Watford FC
Gerard Deulofeu,15400000.0,Watford FC
Isaac Success,2200000.0,Watford FC
André Carrillo,6600000.0,Watford FC
Nordin Amrabat,3300000.0,Watford FC
Dodi Lukebakio,3300000.0,Watford FC
Richarlison,27500000.0,Watford FC
Andre Gray,16500000.0,Watford FC
Troy Deeney,11000000.0,Watford FC
Stefano Okaka,5500000.0,Watford FC
Jerome Sinclair,1650000.0,Watford FC
Michael Folivi,0,Watford FC
Karl Darlow,4950000.0,Newcastle United
Martin Dubravka,4400000.0,Newcastle United
Rob Elliot,1650000.0,Newcastle United
Freddie Woodman,550000.0,Newcastle United
Jamaal Lascelles,16500000.0,Newcastle United
Florian Lejeune,8800000.0,Newcastle United
Ciaran Clark,6600000.0,Newcastle United
Chancel Mbemba,6600000.0,Newcastle United
